PREF,MUNI_CD,MUNI_NAME,SEQ,USE,TRUTH_LON,TRUTH_LAT,IN_MUNI,MUNI_DIST_KM,PAIR_PT,FIT_RES_M,INIT
06,06201,山形市,3,5,140.338032,38.218822,True,0.0,13.7,30.0,縮尺固定 0.2291km/pt+アフィン+2次
06,06205,新庄市,4,5,140.311275,38.750759,True,0.0,14.1,30.0,縮尺固定 0.2291km/pt+アフィン+2次
06,06205,新庄市,5,5,140.291084,38.774452,True,0.0,46.6,30.0,縮尺固定 0.2291km/pt+アフィン+2次
06,06207,上山市,6,5,140.283908,38.158225,True,0.0,13.7,30.0,縮尺固定 0.2291km/pt+アフィン+2次
06,06209,長井市,7,5,140.047508,38.07171,True,0.0,25.2,30.0,縮尺固定 0.2291km/pt+アフィン+2次
06,06210,天童市,8,5,140.379493,38.335144,True,0.0,13.7,30.0,縮尺固定 0.2291km/pt+アフィン+2次
06,06211,東根市,9,3,140.347497,38.424276,True,0.0,13.8,30.0,縮尺固定 0.2291km/pt+アフィン+2次
06,06213,南陽市,10,5,140.142585,38.072441,True,0.0,14.1,30.0,縮尺固定 0.2291km/pt+アフィン+2次
06,06302,中山町,11,3,140.226344,38.33945,True,0.0,13.7,30.0,縮尺固定 0.2291km/pt+アフィン+2次
06,06363,舟形町,12,2,140.275889,38.67762,True,0.0,14.1,30.0,縮尺固定 0.2291km/pt+アフィン+2次
07,07201,福島市,1,3,140.401984,37.741686,True,0.0,11.8,34.0,縮尺固定 0.2645km/pt+アフィン+2次
07,07203,郡山市,2,5,140.416046,37.324508,True,0.0,63.2,34.0,縮尺固定 0.2645km/pt+アフィン+2次
07,07203,郡山市,3,5,140.335786,37.404787,True,0.0,38.5,34.0,縮尺固定 0.2645km/pt+アフィン+2次
07,07203,郡山市,4,1,140.529973,37.32845,True,0.0,34.5,34.0,縮尺固定 0.2645km/pt+アフィン+2次
07,07203,郡山市,5,4,140.425361,37.371774,True,0.0,24.7,34.0,縮尺固定 0.2645km/pt+アフィン+2次
07,07203,郡山市,6,5,140.525441,37.365349,True,0.0,7.0,34.0,縮尺固定 0.2645km/pt+アフィン+2次
07,07203,郡山市,7,5,140.363205,37.343982,True,0.0,33.5,34.0,縮尺固定 0.2645km/pt+アフィン+2次
07,07203,郡山市,8,1,140.550537,37.305349,True,0.0,47.5,34.0,縮尺固定 0.2645km/pt+アフィン+2次
07,07203,郡山市,9,1,140.492225,37.346323,True,0.0,75.1,34.0,縮尺固定 0.2645km/pt+アフィン+2次
07,07203,郡山市,10,1,140.489244,37.310251,True,0.0,27.3,34.0,縮尺固定 0.2645km/pt+アフィン+2次
07,07203,郡山市,11,4,140.387943,37.475469,True,0.0,14.9,34.0,縮尺固定 0.2645km/pt+アフィン+2次
07,07204,いわき市,12,1,140.709013,37.177917,True,0.0,5.2,34.0,縮尺固定 0.2645km/pt+アフィン+2次
07,07204,いわき市,13,1,140.721819,37.196836,True,0.0,6.2,34.0,縮尺固定 0.2645km/pt+アフィン+2次
07,07204,いわき市,14,1,140.624211,37.186266,True,0.0,25.3,34.0,縮尺固定 0.2645km/pt+アフィン+2次
07,07204,いわき市,15,1,140.840048,37.110335,True,0.0,10.1,34.0,縮尺固定 0.2645km/pt+アフィン+2次
07,07204,いわき市,16,1,140.705588,37.23114,True,0.0,24.7,34.0,縮尺固定 0.2645km/pt+アフィン+2次
07,07204,いわき市,17,3,140.862864,36.935209,True,0.0,11.8,34.0,縮尺固定 0.2645km/pt+アフィン+2次
07,07207,須賀川市,18,1,140.385279,37.274557,True,0.0,48.9,34.0,縮尺固定 0.2645km/pt+アフィン+2次
07,07208,喜多方市,19,2,139.8683,37.646778,True,0.0,11.8,34.0,縮尺固定 0.2645km/pt+アフィン+2次
07,07209,相馬市,20,4,140.926231,37.785274,True,0.0,11.8,34.0,縮尺固定 0.2645km/pt+アフィン+2次
07,07211,田村市,21,4,140.565823,37.450501,True,0.0,11.8,34.0,縮尺固定 0.2645km/pt+アフィン+2次
07,07408,猪苗代町,22,3,140.142692,37.539192,True,0.0,12.1,34.0,縮尺固定 0.2645km/pt+アフィン+2次
07,07466,矢吹町,23,4,140.342991,37.196203,True,0.0,65.0,34.0,縮尺固定 0.2645km/pt+アフィン+2次
07,07466,矢吹町,24,4,140.355949,37.18683,True,0.0,59.5,34.0,縮尺固定 0.2645km/pt+アフィン+2次
07,07502,玉川村,25,1,140.480299,37.204611,True,0.0,111.6,34.0,縮尺固定 0.2645km/pt+アフィン+2次
07,07502,玉川村,26,1,140.479226,37.204607,True,0.0,103.8,34.0,縮尺固定 0.2645km/pt+アフィン+2次
07,07503,平田村,27,1,140.595001,37.230815,True,0.0,71.2,34.0,縮尺固定 0.2645km/pt+アフィン+2次
07,07503,平田村,28,1,140.59172,37.241965,True,0.0,53.5,34.0,縮尺固定 0.2645km/pt+アフィン+2次
07,07503,平田村,29,1,140.586379,37.236795,True,0.0,58.7,34.0,縮尺固定 0.2645km/pt+アフィン+2次
07,07505,古殿町,30,3,140.576253,37.127723,True,0.0,13.0,34.0,縮尺固定 0.2645km/pt+アフィン+2次
07,07505,古殿町,31,1,140.603026,37.133825,True,0.0,6.7,34.0,縮尺固定 0.2645km/pt+アフィン+2次
07,07505,古殿町,32,1,140.562374,37.11737,True,0.0,50.4,34.0,縮尺固定 0.2645km/pt+アフィン+2次
07,07505,古殿町,33,1,140.727705,37.050892,False,8.211,3009.1,34.0,縮尺固定 0.2645km/pt+アフィン+2次
07,07505,古殿町,34,1,140.620667,37.036865,True,0.0,52.9,34.0,縮尺固定 0.2645km/pt+アフィン+2次
07,07521,三春町,35,1,140.538624,37.495901,True,0.0,11.8,34.0,縮尺固定 0.2645km/pt+アフィン+2次
07,07522,小野町,36,1,140.601271,37.263461,True,0.0,11.8,34.0,縮尺固定 0.2645km/pt+アフィン+2次
07,07522,小野町,37,1,140.570786,37.335473,True,0.0,6.8,34.0,縮尺固定 0.2645km/pt+アフィン+2次
08,08203,土浦市,1,1,140.182867,36.078367,True,0.0,10.0,27.0,ラベル重心+アフィン+2次
08,08219,牛久市,2,3,140.247484,35.975474,True,0.0,14.1,27.0,ラベル重心+アフィン+2次
08,08220,つくば市,3,1,140.09667,36.084049,True,0.0,69.5,27.0,ラベル重心+アフィン+2次
08,08220,つくば市,4,1,140.09899,36.084696,True,0.0,26.4,27.0,ラベル重心+アフィン+2次
08,08235,つくばみらい市,5,1,140.028667,35.998472,True,0.0,13.7,27.0,ラベル重心+アフィン+2次
08,08302,茨城町,6,6,140.460553,36.319951,True,0.0,42.6,27.0,ラベル重心+アフィン+2次
08,08302,茨城町,7,6,140.461331,36.319955,True,0.0,39.7,27.0,ラベル重心+アフィン+2次
08,08302,茨城町,8,3,140.460557,36.319321,True,0.0,43.9,27.0,ラベル重心+アフィン+2次
09,09210,大田原市,1,4,140.032973,36.897421,True,0.0,52.1,28.0,縮尺固定 0.2117km/pt+アフィン+2次
09,09210,大田原市,2,4,140.036403,36.896762,True,0.0,11.9,28.0,縮尺固定 0.2117km/pt+アフィン+2次
09,09210,大田原市,3,4,140.041544,36.896117,True,0.0,9.6,28.0,縮尺固定 0.2117km/pt+アフィン+2次
10,10202,高崎市,1,3,139.098573,36.300203,True,0.0,13.7,30.0,縮尺固定 0.2294km/pt+2次
10,10428,高山村,2,4,138.962332,36.59038,True,0.0,13.7,30.0,縮尺固定 0.2294km/pt+2次
10,10444,川場村,3,5,139.113465,36.711178,True,0.0,13.7,30.0,縮尺固定 0.2294km/pt+2次
10,10521,板倉町,4,1,139.649634,36.222874,True,0.0,13.7,30.0,縮尺固定 0.2294km/pt+2次
11,11101,さいたま市,1,1,139.575857,35.926247,True,0.0,13.7,25.0,縮尺固定 0.1765km/pt+アフィン+2次
11,11109,さいたま市,2,1,139.696593,35.861787,True,0.0,13.7,25.0,縮尺固定 0.1765km/pt+アフィン+2次
11,11214,春日部市,3,2,139.755237,35.977482,True,0.0,13.7,25.0,縮尺固定 0.1765km/pt+アフィン+2次
11,11218,深谷市,4,1,139.268318,36.215851,True,0.0,14.1,25.0,縮尺固定 0.1765km/pt+アフィン+2次
11,11218,深谷市,5,1,139.267796,36.207257,True,0.0,9.7,25.0,縮尺固定 0.1765km/pt+アフィン+2次
12,12206,木更津市,1,4,140.091253,35.341962,True,0.0,13.7,25.0,最大ポリゴン+アフィン+2次
12,12206,木更津市,2,6,139.916271,35.431867,True,0.0,13.7,25.0,最大ポリゴン+アフィン+2次
12,12206,木更津市,3,3,139.910902,35.373232,True,0.0,13.7,25.0,最大ポリゴン+アフィン+2次
12,12206,木更津市,4,1,139.922066,35.343725,True,0.0,13.8,25.0,最大ポリゴン+アフィン+2次
12,12210,茂原市,5,4,140.295211,35.401245,True,0.0,11.3,25.0,最大ポリゴン+アフィン+2次
12,12210,茂原市,6,4,140.294436,35.40187,True,0.0,46.6,25.0,最大ポリゴン+アフィン+2次
12,12211,成田市,7,1,140.339113,35.780769,True,0.0,13.7,25.0,最大ポリゴン+アフィン+2次
12,12211,成田市,8,1,140.323657,35.780686,True,0.0,45.9,25.0,最大ポリゴン+アフィン+2次
