PREF,MUNI_CD,MUNI_NAME,SEQ,ADR,USE_PDF,USE_SRC,GC_LEVEL,GC_METHOD,GC_LAT,GC_LON,TRUTH_LAT,TRUTH_LON,IN_MUNI,ERROR_KM
05,05303,小坂町,9,字台作,3,4,city,A_city_fallback,40.332926,140.736191,40.384545,140.753001,True,5.914
06,06201,山形市,1,花楯町1丁目,5,5,city,A_city_fallback,38.255436,140.339605,38.270264,140.354556,True,2.103
06,06201,山形市,2,沼木地内,5,5,town,A_normalize,38.246405,140.290597,38.246083,140.290585,True,0.036
06,06201,山形市,3,東青田3丁目,5,5,town,A_normalize,38.221393,140.338458,38.218822,140.338032,True,0.288
06,06205,新庄市,4,金沢新町,5,5,town,A_normalize,38.749544,140.309214,38.750759,140.311275,True,0.224
06,06205,新庄市,5,檜町地内,5,5,town,A_normalize,38.772547,140.294237,38.774452,140.291084,True,0.346
06,06207,上山市,6,北町2丁目地内,5,5,town,A_normalize,38.158231,140.284233,38.158225,140.283908,True,0.028
06,06209,長井市,7,河井,5,5,town,A_normalize,38.072497,140.049902,38.07171,140.047508,True,0.227
06,06210,天童市,8,山王地内,5,5,town,A_normalize,38.337376,140.378304,38.335144,140.379493,True,0.269
06,06211,東根市,9,大字野田字シタ,3,3,town,A_normalize,38.428441,140.355555,38.424276,140.347497,True,0.841
06,06213,南陽市,10,宮内,5,5,town,A_normalize,38.077537,140.148525,38.072441,140.142585,True,0.769
06,06302,中山町,11,柳沢地内,3,3,town,A_normalize,38.329652,140.242305,38.33945,140.226344,True,1.768
07,07201,福島市,1,佐倉下字一本杉,3,3,city,A_city_fallback,37.760759,140.473269,37.741686,140.401984,True,6.616
07,07203,郡山市,2,笹川字雷堂,5,5,city,A_city_fallback,37.400455,140.359650,37.324508,140.416046,True,9.806
07,07203,郡山市,3,小山田,5,5,town,A_normalize,37.404550,140.336606,37.404787,140.335786,True,0.077
07,07203,郡山市,4,下枝字中名畑,1,1,town,A_normalize,37.389067,140.320952,37.32845,140.529973,True,19.665
07,07203,郡山市,5,赤沼西平,4,4,town,A_normalize,37.371595,140.429306,37.371774,140.425361,True,0.349
07,07203,郡山市,6,柳橋久根込,5,5,city,A_city_fallback,37.400455,140.359650,37.365349,140.525441,True,15.16
07,07203,郡山市,7,町岩作字坂ノ上,5,5,town,A_normalize,37.475931,140.308600,37.343982,140.363205,True,15.444
07,07203,郡山市,8,町田母神字姉屋,1,1,town,A_normalize,37.475931,140.308600,37.305349,140.550537,True,28.577
07,07203,郡山市,9,町田母神馬場入,1,1,town,A_normalize,37.475931,140.308600,37.346323,140.492225,True,21.696
07,07203,郡山市,10,町栃本字市穀,1,1,town,A_normalize,37.475931,140.308600,37.310251,140.489244,True,24.374
07,07203,郡山市,11,高倉字下中道,4,4,town,A_normalize,37.478961,140.395500,37.475469,140.387943,True,0.772
07,07204,いわき市,12,三和町差塩館下,1,1,city,A_city_fallback,37.050456,140.887687,37.177917,140.709013,True,21.257
07,07204,いわき市,13,三和町差塩字掘添,1,1,town,A_normalize,37.181884,140.719775,37.196836,140.721819,True,1.672
07,07204,いわき市,14,三和町上三坂字本町,1,1,city,A_city_fallback,37.050456,140.887687,37.186266,140.624211,True,27.817
07,07204,いわき市,15,西小川字下大沢地内,1,1,town,A_normalize,37.030572,140.919530,37.110335,140.840048,True,11.331
07,07204,いわき市,16,川前町字棚木,1,1,town,A_normalize,37.039859,140.909317,37.23114,140.705588,True,27.902
07,07204,いわき市,17,泉町滝尻字松原,3,3,city,A_city_fallback,37.050456,140.887687,36.935209,140.862864,True,13.003
07,07207,須賀川市,18,花岡,1,1,town,A_normalize,37.273921,140.385705,37.274557,140.385279,True,0.08
07,07208,喜多方市,19,字町田,2,2,town,A_normalize,37.645489,139.867851,37.646778,139.8683,True,0.149
07,07209,相馬市,20,成田字五郎右左門橋,4,4,town,A_normalize,37.783447,140.918762,37.785274,140.926231,True,0.687
07,07211,田村市,21,船引町大字船引字新沼,4,4,city,A_city_fallback,37.440592,140.576339,37.450501,140.565823,True,1.441
07,07408,猪苗代町,22,大字川桁字林口,3,3,city,A_city_fallback,37.557799,140.104794,37.539192,140.142692,True,3.93
07,07466,矢吹町,23,一本木,4,4,town,A_normalize,37.200905,140.342201,37.196203,140.342991,True,0.528
07,07466,矢吹町,24,寺内,4,4,town,A_normalize,37.187386,140.359098,37.18683,140.355949,True,0.286
07,07502,玉川村,25,南須釜字滝作,1,1,city,A_city_fallback,37.210718,140.408939,37.204611,140.480299,True,6.356
07,07502,玉川村,26,南須釜字狸穴,1,1,city,A_city_fallback,37.210718,140.408939,37.204607,140.479226,True,6.262
07,07503,平田村,27,大字九生滝,1,1,town,A_normalize,37.241224,140.590745,37.230815,140.595001,True,1.217
07,07503,平田村,28,大字九生滝字大道,1,1,city,A_city_fallback,37.221944,140.575685,37.241965,140.59172,True,2.64
07,07503,平田村,29,大字九生滝字大道,1,1,city,A_city_fallback,37.221944,140.575685,37.236795,140.586379,True,1.904
07,07505,古殿町,30,山上仮宿,3,3,city,A_city_fallback,37.089182,140.555692,37.127723,140.576253,True,4.657
07,07505,古殿町,31,山上字越牧,1,1,city,A_city_fallback,37.089182,140.555692,37.133825,140.603026,True,6.501
07,07505,古殿町,32,山上字戸草,1,1,city,A_city_fallback,37.089182,140.555692,37.11737,140.562374,True,3.19
07,07505,古殿町,33,松川字古内,1,1,city,A_city_fallback,37.089182,140.555692,37.050892,140.727705,False,15.844
07,07505,古殿町,34,大字松川字仁田,1,1,city,A_city_fallback,37.089182,140.555692,37.036865,140.620667,True,8.19
07,07521,三春町,35,大字富沢字平生田,1,1,city,A_city_fallback,37.441047,140.492575,37.495901,140.538624,True,7.329
07,07522,小野町,36,塩庭字畑作,1,1,town,A_normalize,37.241550,140.624556,37.263461,140.601271,True,3.191
07,07522,小野町,37,浮金字日影,1,1,city,A_city_fallback,37.286823,140.626280,37.335473,140.570786,True,7.304
08,08203,土浦市,1,上高津,1,1,town,A_normalize,36.076263,140.171451,36.078367,140.182867,True,1.052
08,08219,牛久市,2,桂町,3,3,town,A_normalize,35.973489,140.244745,35.975474,140.247484,True,0.331
08,08220,つくば市,3,研究学園7丁目,1,1,town,A_normalize,36.084142,140.093673,36.084049,140.09667,True,0.27
08,08220,つくば市,4,研究学園7丁目,1,1,town,A_normalize,36.084142,140.093673,36.084696,140.09899,True,0.482
08,08235,つくばみらい市,5,西楢戸地内,1,1,town,A_normalize,35.995912,140.026037,35.998472,140.028667,True,0.37
08,08302,茨城町,6,上石崎,6,6,town,A_normalize,36.295703,140.469808,36.319951,140.460553,True,2.821
08,08302,茨城町,7,上石崎,6,6,town,A_normalize,36.295703,140.469808,36.319955,140.461331,True,2.802
08,08302,茨城町,8,上石崎,3,3,town,A_normalize,36.295703,140.469808,36.319321,140.460557,True,2.754
